FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,geometry
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d1e,Kara,Kéran,Kéran 3,Warengo,"MULTILINESTRING ((1.1198720426794009 10.09679978115203, 1.1198559955591576 10.09693191485417, 1.1197932659072984 10.096987928037617, 1.1196896890402759 10.097010907802362, 1.1195671473947841 10.096933351089769, 1.1195890298314788 10.096809834805185, 1.1196780184073716 10.096743767935829))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d1f,Centrale,Blitta,Blitta 1,Yaloumbè,"MULTILINESTRING ((1.1007 8.281846666666667, 1.1013029915485415 8.28174877801668, 1.1013029915485415 8.28174877801668, 1.1013029915485415 8.28174877801668, 1.1013443131566412 8.28184914607321, 1.1013443131566412 8.28184914607321, 1.1012522786658734 8.281990404776078, 1.1012522786658734 8.281990404776078, 1.1012522786658734 8.28199412210968, 1.1008841407028025 8.282157684753388, 1.1008841407028025 8.282157684753388))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d20,Maritime,Zio,Zio 2,Bolou,"MULTILINESTRING ((1.1677837798612436 6.444580866287012, 1.1678123619676892 6.44456767987944, 1.1677848006507594 6.444374955421949, 1.1676633266983647 6.444336410521665, 1.1675888090637023 6.444449002195858, 1.1676092248540209 6.444540292724154, 1.167651077224174 6.444597095711247))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d21,Maritime,Lacs,Lacs 2,Aklakou,"MULTILINESTRING ((1.7251116666666666 6.364396666666666, 1.7243531435131114 6.36334338341167, 1.7242167184854937 6.362942053083771, 1.7240148094446195 6.3628390087598135))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d22,Savanes,Tône,Tône 3,Tami,"MULTILINESTRING ((0.0619699688416066 10.851020322739892, 0.0618041721874057 10.85065382487271, 0.0617779937683213 10.849528152852084, 0.0619001597240482 10.849270731731089))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d23,Savanes,Tône,Tône 1,Toaga,"MULTILINESTRING ((0.2436093210998851 10.883083310712983, 0.2437624969747938 10.883237588550296))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d24,Centrale,Tchamba,Tchamba 1,Affem,"MULTILINESTRING ((1.508008236681005 9.133037873893782, 1.5078748408051874 9.13302552657397, 1.5077539507927278 9.132955558420313))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d25,Centrale,Sotouboua,Sotouboua 2,Aouda,"MULTILINESTRING ((0.9448624221898557 8.732704325097119, 0.9448543177355545 8.732786655252555, 0.9448462132812532 8.732889011636678, 0.9448376585794908 8.732983357496293, 0.944831355115034 8.733050111627833, 0.9448277531353445 8.733132441706942, 0.9448232506607327 8.733216996904412, 0.9448196486810432 8.733310007599487, 0.9448079422470524 8.733399903081779, 0.9447944348232167 8.733496918974003, 0.9447777756671529 8.733603725431667, 0.9447642682433175 8.73368205014785, 0.9447381538905689 8.733783071206364))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d26,Centrale,Sotouboua,Sotouboua 2,Aouda,"MULTILINESTRING ((0.9455502456912446 8.730412015682118, 0.9456061983591505 8.730370537402257, 0.9456501611696481 8.730348810682393, 0.9456921256705777 8.730299431768909, 0.9457280952428028 8.730269804417684, 0.9457700597437324 8.730208574551025, 0.945818019173366 8.730159195618981, 0.9458639802934314 8.730072288682715, 0.945901948175225 8.729989332042846, 0.9459199329613375 8.729880698319896, 0.9458999498656568 8.729758238448827))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d27,Centrale,Blitta,Blitta 1,Blitta,"MULTILINESTRING ((0.9673433828933544 8.322522379315036, 0.9670519867839944 8.32241615341365, 0.9671133333333334 8.322089887964978, 0.9674430710360304 8.322158176104631, 0.9673510512120221 8.322537554441451))"
